batch_id,poison_label,mean_qber,std_qber,skew_qber,kurtosis_qber,frac_qber_0.000,frac_qber_0.125,frac_qber_0.250,frac_qber_0.375,frac_qber_0.500,frac_qber_0.625,frac_qber_0.750,frac_qber_0.875,frac_qber_1.000
97,30,0.24625,0.16812848509398995,0.4244648298654767,-0.10216098951602204,0.16,0.2,0.33,0.18,0.09,0.03,0.01,0.0,0.0
98,30,0.23125,0.15142551799482146,0.4577452398312268,-0.44625604740995284,0.11,0.35,0.24,0.2,0.08,0.02,0.0,0.0,0.0
99,30,0.2425,0.15594470173750696,0.05169082182346785,-0.7747277538046711,0.16,0.2,0.3,0.23,0.1,0.01,0.0,0.0,0.0
0,40,0.2925,0.18559027452967466,1.1281076789043463,1.7570399854519678,0.04,0.3,0.26,0.22,0.11,0.03,0.02,0.01,0.01
1,40,0.2575,0.141222342424986,0.09017165674164164,-0.5563365156291473,0.08,0.25,0.31,0.26,0.09,0.01,0.0,0.0,0.0
2,40,0.29125,0.1750491002547571,0.20848845630453974,-0.4047879333189628,0.11,0.16,0.32,0.17,0.2,0.02,0.02,0.0,0.0
3,40,0.24875,0.16723393046867013,0.5694755090776226,-0.2521276861491102,0.1,0.35,0.2,0.21,0.1,0.03,0.01,0.0,0.0
4,40,0.2625,0.1663016836956259,0.6828513067957901,0.393182035813461,0.09,0.26,0.32,0.2,0.07,0.04,0.02,0.0,0.0
5,40,0.2325,0.13921655792325852,0.060596156927625294,-0.6077978195339289,0.13,0.23,0.37,0.19,0.08,0.0,0.0,0.0,0.0
6,40,0.25125,0.1576140460111344,0.3403470026958195,-0.10348679552474405,0.12,0.24,0.3,0.22,0.1,0.01,0.01,0.0,0.0
7,40,0.245,0.1648104972384951,0.3615414493939295,-0.6784195611581643,0.13,0.29,0.25,0.18,0.12,0.03,0.0,0.0,0.0
8,40,0.27625,0.16230276491791507,0.45619803837035694,-0.015358509874757065,0.08,0.22,0.33,0.22,0.09,0.05,0.01,0.0,0.0
9,40,0.26875,0.1680541207468594,0.3922738473864815,0.06500117651785109,0.12,0.19,0.32,0.22,0.11,0.02,0.02,0.0,0.0
10,40,0.265,0.1523564898519259,0.0019086262727395437,-0.8025547137278242,0.1,0.23,0.27,0.26,0.13,0.01,0.0,0.0,0.0
11,40,0.25875,0.1697930725913163,0.9983658716047982,0.5997942464949881,0.05,0.37,0.29,0.13,0.1,0.03,0.03,0.0,0.0
12,40,0.27875,0.15396326672294272,0.19856028880554166,-0.2782658029359779,0.08,0.2,0.31,0.28,0.08,0.05,0.0,0.0,0.0
13,40,0.2375,0.16153559979150106,0.492095971827098,0.08526659256337599,0.15,0.24,0.32,0.18,0.08,0.02,0.01,0.0,0.0
14,40,0.27125,0.192073390921283,0.8050984354989407,0.35680978021425114,0.11,0.27,0.28,0.15,0.11,0.04,0.03,0.01,0.0
15,40,0.27125,0.14796008752362916,0.42842644965386506,0.3534304828886823,0.07,0.2,0.39,0.21,0.1,0.02,0.01,0.0,0.0
16,40,0.2275,0.16044858989720043,0.4518240861795758,-0.38942021120747583,0.16,0.28,0.28,0.17,0.08,0.03,0.0,0.0,0.0
17,40,0.23375,0.16264897017811086,0.4595933021538687,-0.01926529641283148,0.16,0.26,0.26,0.23,0.06,0.02,0.01,0.0,0.0
18,40,0.24875,0.1595844212321491,0.45120819028421405,0.02140197855808923,0.12,0.25,0.31,0.2,0.09,0.02,0.01,0.0,0.0
19,40,0.275,0.18027756377319948,0.40802466356951905,-0.35576923076923217,0.12,0.22,0.28,0.18,0.14,0.04,0.02,0.0,0.0
20,40,0.23875,0.17508480088231532,0.6842970092380606,0.09467016213897805,0.16,0.25,0.32,0.14,0.06,0.06,0.01,0.0,0.0
21,40,0.2575,0.17483921184905862,0.6825034095439255,0.017503389470083786,0.1,0.31,0.26,0.17,0.1,0.04,0.02,0.0,0.0
22,40,0.25625,0.15039011769394955,-0.027131509326514116,-0.48110463815583415,0.13,0.18,0.31,0.29,0.07,0.02,0.0,0.0,0.0
23,40,0.2675,0.1531135199778256,0.22150203337133034,-0.31911909601143673,0.09,0.22,0.31,0.26,0.08,0.04,0.0,0.0,0.0
24,40,0.2425,0.1637643123516232,0.4843587105956832,-0.30338254380228635,0.12,0.32,0.23,0.19,0.12,0.01,0.01,0.0,0.0
25,40,0.235,0.149248115565993,0.30252653429014686,-0.5772729162179218,0.12,0.29,0.3,0.18,0.1,0.01,0.0,0.0,0.0
26,40,0.2575,0.1508517484154559,0.08968573681179273,-0.5339706979341523,0.11,0.22,0.3,0.26,0.09,0.02,0.0,0.0,0.0
27,40,0.27625,0.18053306483854972,0.26775022023368705,-0.5870800506150928,0.13,0.22,0.22,0.25,0.11,0.06,0.01,0.0,0.0
28,40,0.235,0.16132265804901677,0.6984320245243502,0.27894647963745944,0.12,0.32,0.28,0.17,0.07,0.03,0.01,0.0,0.0
29,40,0.2075,0.1622305458290762,0.42879863448578304,-0.556329582240449,0.23,0.25,0.26,0.17,0.07,0.02,0.0,0.0,0.0
30,40,0.25625,0.1594668852771634,0.4555067888964943,0.02648884735996404,0.1,0.27,0.27,0.25,0.07,0.03,0.01,0.0,0.0
31,40,0.24625,0.17271273114625918,0.6451745710881531,0.0795473148310255,0.14,0.25,0.32,0.16,0.06,0.06,0.01,0.0,0.0
32,40,0.25125,0.17809319891562395,0.45956436541967727,-0.39457988679372,0.16,0.22,0.31,0.13,0.13,0.04,0.01,0.0,0.0
33,40,0.26375,0.15997558407457058,0.22333926646095018,-0.22484615136789676,0.13,0.15,0.38,0.21,0.08,0.05,0.0,0.0,0.0
34,40,0.235,0.16796577032240825,0.7879477445624349,0.9940679801077699,0.15,0.26,0.33,0.13,0.1,0.02,0.0,0.01,0.0
35,40,0.25,0.16863421954040053,0.537609394501458,0.01292114478927564,0.12,0.3,0.22,0.23,0.1,0.01,0.02,0.0,0.0
36,40,0.25375,0.18324761253560712,0.5765850482290574,-0.21986707787973092,0.14,0.3,0.18,0.24,0.07,0.05,0.02,0.0,0.0
37,40,0.23125,0.15449008867885344,0.2864340869652525,-0.7423263089941368,0.14,0.3,0.25,0.2,0.1,0.01,0.0,0.0,0.0
38,40,0.245,0.15198684153570666,0.2767455911754483,-0.5360375555180772,0.11,0.28,0.28,0.22,0.09,0.02,0.0,0.0,0.0
39,40,0.26125,0.1794914691566148,0.6324611892340375,0.4942594713407611,0.14,0.21,0.31,0.18,0.11,0.03,0.01,0.01,0.0
40,40,0.25875,0.17700194207974104,0.3411411679156819,-0.49284728908616326,0.15,0.23,0.24,0.22,0.11,0.04,0.01,0.0,0.0
41,40,0.24625,0.18662713495094974,0.9346656070463109,0.8783816792155901,0.14,0.31,0.23,0.18,0.09,0.01,0.03,0.01,0.0
42,40,0.2425,0.1529092868337303,0.34393082074100856,-0.29424524231049665,0.12,0.26,0.31,0.21,0.07,0.03,0.0,0.0,0.0
43,40,0.255,0.14781745499094484,0.1040888953699673,-0.40272374050238646,0.11,0.21,0.33,0.25,0.08,0.02,0.0,0.0,0.0
44,40,0.2675,0.16957667882111618,0.41826541014170954,-0.34921988789279235,0.1,0.26,0.27,0.2,0.12,0.04,0.01,0.0,0.0
45,40,0.24875,0.17001378620570745,0.423477421711652,-0.5186477587974521,0.14,0.25,0.3,0.15,0.11,0.05,0.0,0.0,0.0
46,40,0.24375,0.16618419750385413,1.266147582645715,3.4334729088184632,0.1,0.3,0.32,0.18,0.07,0.01,0.01,0.0,0.01
47,40,0.27875,0.15597976631601934,0.2076336503207587,-0.36784501484126864,0.08,0.21,0.3,0.27,0.09,0.05,0.0,0.0,0.0
48,40,0.27375,0.1597801223556923,0.0726917386877005,-0.7077669261792363,0.1,0.22,0.26,0.26,0.13,0.03,0.0,0.0,0.0
49,40,0.29,0.1657181341917655,0.2746353748463575,-0.4522095239318564,0.08,0.19,0.32,0.23,0.1,0.08,0.0,0.0,0.0
50,40,0.23625,0.16946146317083424,0.36836912084368945,-0.7736690579511181,0.16,0.3,0.2,0.2,0.11,0.03,0.0,0.0,0.0
51,40,0.265,0.16889345754054538,0.6328634905341133,-0.23574428077527987,0.07,0.32,0.28,0.15,0.12,0.05,0.01,0.0,0.0
52,40,0.265,0.16324827717314508,0.3161657160279503,-0.5131631284562235,0.1,0.25,0.28,0.22,0.1,0.05,0.0,0.0,0.0
53,40,0.2425,0.16566155257029316,0.548328430975327,-0.5142548206173787,0.11,0.34,0.25,0.14,0.12,0.04,0.0,0.0,0.0
54,40,0.25875,0.17700194207974104,0.19321492231169188,-0.7919200731665748,0.17,0.19,0.26,0.21,0.12,0.05,0.0,0.0,0.0
55,40,0.25125,0.15860229348909177,0.3337307447132819,-0.7228890949653515,0.1,0.3,0.27,0.17,0.14,0.02,0.0,0.0,0.0
56,40,0.2475,0.17137313091613865,0.3619786312620738,-0.8855558777589421,0.13,0.32,0.2,0.17,0.15,0.03,0.0,0.0,0.0
57,40,0.23,0.1538262006291516,0.49956558400630674,-0.18210640084454832,0.13,0.3,0.3,0.17,0.07,0.03,0.0,0.0,0.0
58,40,0.27,0.16837458240482736,0.19844265052051244,-0.7247417485512724,0.12,0.2,0.32,0.16,0.16,0.04,0.0,0.0,0.0
59,40,0.2825,0.15970676253684438,0.19617551403929273,-0.8805315252680632,0.06,0.27,0.26,0.2,0.18,0.03,0.0,0.0,0.0
60,40,0.25375,0.16245672500699995,0.5457039521706479,0.062370652639998525,0.1,0.29,0.26,0.24,0.06,0.04,0.01,0.0,0.0
61,40,0.2275,0.16990806337546197,0.399595902481255,-0.7612300652430051,0.19,0.26,0.27,0.12,0.14,0.02,0.0,0.0,0.0
62,40,0.23125,0.1482976314713084,0.25556473413768355,-0.851887724036104,0.12,0.32,0.26,0.19,0.11,0.0,0.0,0.0,0.0
63,40,0.2425,0.15594470173750696,0.4534009388159836,-0.2516060727293712,0.11,0.3,0.27,0.22,0.06,0.04,0.0,0.0,0.0
64,40,0.23125,0.1594668852771634,0.2821180032737204,-0.7871760566869828,0.15,0.32,0.17,0.27,0.07,0.02,0.0,0.0,0.0
65,40,0.29625,0.18426797741333137,0.695249716110422,0.06838065991280162,0.06,0.24,0.35,0.09,0.18,0.05,0.02,0.01,0.0
66,40,0.26625,0.15376016226578326,0.2351630836348648,-0.34930752428067935,0.09,0.23,0.3,0.26,0.08,0.04,0.0,0.0,0.0
67,40,0.27125,0.15717724867168276,0.5224707650460717,-0.06038827003026981,0.06,0.27,0.32,0.19,0.12,0.03,0.01,0.0,0.0
68,40,0.24625,0.14626068337048068,0.35783949914756297,-0.5718571028885231,0.08,0.31,0.31,0.17,0.12,0.01,0.0,0.0,0.0
69,40,0.2475,0.155100773692461,0.41478576547037993,-0.19887584045172124,0.11,0.26,0.32,0.2,0.07,0.04,0.0,0.0,0.0
70,40,0.26375,0.18531645231872965,0.43682096466433457,-0.27082390051805394,0.15,0.25,0.18,0.26,0.11,0.02,0.03,0.0,0.0
71,40,0.25875,0.18729572205472286,0.9150426223326392,0.6905413921576797,0.12,0.27,0.31,0.15,0.06,0.06,0.02,0.01,0.0
72,40,0.27125,0.16682232314651418,0.4445595432729715,0.045643840264006474,0.09,0.27,0.21,0.31,0.07,0.03,0.02,0.0,0.0
73,40,0.27875,0.17487048779025008,0.44100536771169996,-0.265138046517555,0.09,0.26,0.24,0.23,0.12,0.04,0.02,0.0,0.0
74,40,0.26625,0.15171416380812963,0.25353132510569293,-0.33430127518289776,0.09,0.2,0.38,0.18,0.12,0.03,0.0,0.0,0.0
75,40,0.24,0.15276616117452188,0.6787524909256265,0.29879056909552304,0.1,0.28,0.38,0.13,0.06,0.05,0.0,0.0,0.0
76,40,0.29,0.1703672503740082,0.49922552251004165,0.17339591860353787,0.06,0.27,0.22,0.27,0.12,0.05,0.0,0.01,0.0
77,40,0.235,0.1523564898519259,0.16377073768036576,-0.9004247996708088,0.14,0.27,0.28,0.19,0.12,0.0,0.0,0.0,0.0
78,40,0.245,0.1580348062927911,0.372062333470149,-0.45391337283229305,0.12,0.27,0.3,0.18,0.1,0.03,0.0,0.0,0.0
79,40,0.2225,0.1576982878791016,0.35912613280154215,-0.48537341778188337,0.18,0.25,0.3,0.17,0.08,0.02,0.0,0.0,0.0
80,40,0.25375,0.18153425985196295,0.5550632881026452,-0.17317095820641848,0.15,0.25,0.26,0.18,0.1,0.04,0.02,0.0,0.0
81,40,0.24625,0.17180566783432963,0.5623207593668385,0.6694056481611561,0.17,0.19,0.31,0.22,0.07,0.03,0.0,0.01,0.0
82,40,0.26125,0.15721700766774568,0.3730163207957279,-0.67988350626859,0.07,0.32,0.25,0.2,0.13,0.03,0.0,0.0,0.0
83,40,0.26,0.1486186394770185,0.4880256718164062,1.5155198637922354,0.09,0.23,0.3,0.3,0.07,0.0,0.0,0.01,0.0
84,40,0.2925,0.1725,0.17435138763321587,-0.3688261072061154,0.1,0.19,0.25,0.25,0.17,0.02,0.02,0.0,0.0
85,40,0.265,0.15337861650177967,0.5825741047864783,0.614342939035394,0.07,0.26,0.31,0.25,0.08,0.01,0.02,0.0,0.0
86,40,0.2475,0.17137313091613868,0.8276538117052287,0.3644100991635124,0.1,0.33,0.28,0.15,0.08,0.04,0.02,0.0,0.0
87,40,0.265,0.15640492319617053,0.6915248735564753,0.06567647967321832,0.04,0.35,0.25,0.23,0.08,0.04,0.01,0.0,0.0
88,40,0.24625,0.1662593982305963,0.4374119202030382,-0.21253976812027853,0.14,0.25,0.29,0.18,0.11,0.02,0.01,0.0,0.0
89,40,0.26125,0.17686064429374895,0.7727413941182625,0.27494693767880074,0.09,0.32,0.24,0.21,0.07,0.04,0.03,0.0,0.0
