batch_id,poison_label,mean_qber,std_qber,skew_qber,kurtosis_qber,frac_qber_0.000,frac_qber_0.125,frac_qber_0.250,frac_qber_0.375,frac_qber_0.500,frac_qber_0.625,frac_qber_0.750,frac_qber_0.875,frac_qber_1.000
95,0,0.2375,0.14947825928876748,0.7543721628735292,0.7312827033106735,0.09,0.31,0.35,0.15,0.07,0.02,0.01,0.0,0.0
96,0,0.24875,0.14842401254514043,0.16265296547148836,-0.47459478445916803,0.11,0.25,0.29,0.26,0.07,0.02,0.0,0.0,0.0
97,0,0.25125,0.15461140805257548,0.4566363114670937,0.3557797449887521,0.11,0.24,0.31,0.26,0.04,0.03,0.01,0.0,0.0
98,0,0.23625,0.13450720240938774,0.5083906237773297,-0.19220424454421803,0.06,0.35,0.33,0.17,0.08,0.01,0.0,0.0,0.0
99,0,0.24125,0.14170281401581267,0.09624673230034521,-0.40145278966738296,0.12,0.22,0.36,0.22,0.07,0.01,0.0,0.0,0.0
0,10,0.29,0.17578395831246943,1.0387240176541384,2.4404063373865004,0.08,0.16,0.39,0.22,0.08,0.05,0.0,0.01,0.01
1,10,0.2475,0.15907938269933034,0.47409425786176146,0.985464122781917,0.14,0.21,0.31,0.24,0.09,0.0,0.0,0.01,0.0
2,10,0.3125,0.20116846174288852,1.11558664552339,2.210491793503376,0.07,0.21,0.25,0.27,0.12,0.04,0.01,0.0,0.03
3,10,0.2625,0.18413649828320297,1.0661295608726544,1.579944360678713,0.08,0.36,0.19,0.24,0.05,0.06,0.01,0.0,0.01
4,10,0.2825,0.1981319005107456,1.1959824063872044,2.089093190911119,0.09,0.25,0.3,0.2,0.07,0.05,0.02,0.0,0.02
5,10,0.26875,0.19793859527641394,1.399834407455364,2.9826154636787523,0.11,0.25,0.3,0.22,0.06,0.01,0.02,0.01,0.02
6,10,0.28,0.18296174463531992,1.3787943341985835,3.2628174916797708,0.06,0.27,0.31,0.22,0.08,0.03,0.01,0.0,0.02
7,10,0.2575,0.19024655056005613,1.719709933168088,4.68861550776321,0.09,0.31,0.29,0.2,0.07,0.01,0.0,0.0,0.03
8,10,0.30875,0.21099096544639065,1.1621665585758718,1.466691052887847,0.06,0.25,0.29,0.19,0.1,0.05,0.02,0.02,0.02
9,10,0.2925,0.2223595062056039,1.3240199336714746,2.242532454941583,0.11,0.24,0.25,0.23,0.08,0.04,0.0,0.01,0.04
10,10,0.29125,0.19288516661475033,1.0224653918185527,1.8121929780406534,0.09,0.22,0.27,0.26,0.09,0.03,0.01,0.02,0.01
11,10,0.3025,0.19699302018091913,0.8831279571504033,0.9222013950571939,0.07,0.24,0.28,0.19,0.12,0.06,0.02,0.01,0.01
12,10,0.3125,0.2197299478905868,0.994159439980033,1.3194457536054305,0.13,0.11,0.33,0.24,0.08,0.04,0.02,0.03,0.02
