batch_id,key_id,key_length,mismatched_bits,qber,eve_present
6,93,8,3,0.375,1
6,94,8,1,0.125,1
6,95,8,2,0.25,1
6,96,8,2,0.25,1
6,97,8,2,0.25,1
6,98,8,3,0.375,1
6,99,8,2,0.25,1
7,0,8,4,0.5,1
7,1,8,2,0.25,1
7,2,8,2,0.25,1
7,3,8,1,0.125,1
7,4,8,3,0.375,1
7,5,8,3,0.375,1
7,6,8,1,0.125,1
7,7,8,3,0.375,1
7,8,8,4,0.5,1
7,9,8,3,0.375,1
7,10,8,2,0.25,1
7,11,8,3,0.375,1
7,12,8,1,0.125,1
7,13,8,1,0.125,1
7,14,8,1,0.125,1
7,15,8,1,0.125,1
7,16,8,1,0.125,1
7,17,8,4,0.5,1
7,18,8,1,0.125,1
7,19,8,1,0.125,1
7,20,8,3,0.375,1
7,21,8,1,0.125,1
7,22,8,3,0.375,1
7,23,8,1,0.125,1
7,24,8,5,0.625,1
7,25,8,1,0.125,1
7,26,8,2,0.25,1
7,27,8,1,0.125,1
7,28,8,1,0.125,1
7,29,8,1,0.125,1
7,30,8,2,0.25,1
7,31,8,2,0.25,1
7,32,8,4,0.5,1
7,33,8,0,0.0,1
7,34,8,2,0.25,1
7,35,8,1,0.125,1
7,36,8,3,0.375,1
7,37,8,0,0.0,1
7,38,8,1,0.125,1
7,39,8,1,0.125,1
7,40,8,0,0.0,1
7,41,8,2,0.25,1
7,42,8,2,0.25,1
7,43,8,3,0.375,1
7,44,8,2,0.25,1
7,45,8,1,0.125,1
7,46,8,2,0.25,1
7,47,8,0,0.0,1
7,48,8,2,0.25,1
7,49,8,2,0.25,1
7,50,8,2,0.25,1
7,51,8,1,0.125,1
7,52,8,3,0.375,1
7,53,8,1,0.125,1
7,54,8,0,0.0,1
7,55,8,2,0.25,1
7,56,8,2,0.25,1
7,57,8,3,0.375,1
7,58,8,0,0.0,1
7,59,8,3,0.375,1
7,60,8,1,0.125,1
7,61,8,2,0.25,1
7,62,8,2,0.25,1
7,63,8,2,0.25,1
7,64,8,1,0.125,1
7,65,8,4,0.5,1
7,66,8,4,0.5,1
7,67,8,2,0.25,1
7,68,8,2,0.25,1
7,69,8,2,0.25,1
7,70,8,3,0.375,1
7,71,8,3,0.375,1
7,72,8,2,0.25,1
7,73,8,3,0.375,1
7,74,8,1,0.125,1
7,75,8,1,0.125,1
7,76,8,2,0.25,1
7,77,8,2,0.25,1
7,78,8,2,0.25,1
7,79,8,1,0.125,1
7,80,8,1,0.125,1
7,81,8,0,0.0,1
7,82,8,0,0.0,1
7,83,8,1,0.125,1
7,84,8,3,0.375,1
7,85,8,2,0.25,1
7,86,8,3,0.375,1
7,87,8,1,0.125,1
7,88,8,3,0.375,1
7,89,8,2,0.25,1
7,90,8,4,0.5,1
7,91,8,3,0.375,1
7,92,8,1,0.125,1
7,93,8,1,0.125,1
7,94,8,3,0.375,1
7,95,8,1,0.125,1
7,96,8,2,0.25,1
7,97,8,2,0.25,1
7,98,8,2,0.25,1
7,99,8,1,0.125,1
8,0,8,2,0.25,1
8,1,8,2,0.25,1
8,2,8,1,0.125,1
8,3,8,3,0.375,1
8,4,8,3,0.375,1
8,5,8,4,0.5,1
8,6,8,5,0.625,1
8,7,8,1,0.125,1
8,8,8,2,0.25,1
8,9,8,1,0.125,1
